questao,probabilidade,exercicio
1,0.95,1
1,0.95,2
1,0.95,3
1,0.9,4
1,0.85,5
1,0.9,6
1,0.95,7
1,0.9,8
1,0.9,9
1,0.95,10
1,0.9,11
1,0.9,12
1,0.9,13
1,0.85,14
1,0.85,15
1,0.9,16
1,1.0,17
1,1.0,18
1,0.95,19
1,0.9,20
1,0.9,21
1,0.9,22
1,0.9,23
1,0.85,24
1,0.9,25
1,0.9,26
1,0.9,27
1,0.9,28
1,0.9,29
1,0.85,31
1,0.75,32
1,0.8,33
1,0.85,34
1,0.65,35
1,0.85,36
1,0.9,37
1,0.85,38
1,0.9,39
1,0.75,40
1,0.5,41
1,0.65,42
1,0.85,44
1,0.75,45
1,0.7,46
1,0.85,47
1,0.9,48
1,0.9,49
1,0.8,50
1,0.85,51
1,0.9,52
1,0.8,53
1,0.9,54
1,0.75,55
1,0.6,56
1,0.75,57
1,0.7,58
1,0.85,59
1,0.8,60
1,0.9,61
1,0.85,62
1,0.85,63
1,0.9,64
1,0.95,66
1,0.95,67
1,0.85,68
1,0.8,69
1,0.85,70
1,0.2,71
1,0.9,72
1,0.4,73
1,0.75,74
1,0.85,75
1,0.7,76
1,0.7,77
1,0.8,78
1,0.2,79
1,0.5,80
1,0.45,81
1,0.4,82
1,0.15,83
1,0.15,84
1,0.3,85
2,0.8,1
2,0.94545455,2
2,0.96363636,3
2,0.94545455,4
2,0.78181818,5
2,0.96363636,6
2,0.92727273,7
2,0.87272727,8
2,0.94545455,9
2,0.98181818,10
2,0.92727273,11
2,0.83636364,12
2,0.87272727,13
2,0.70909091,14
2,0.83636364,15
2,0.85454545,16
2,1.0,17
2,1.0,18
2,0.94545455,19
2,0.96363636,20
2,0.92727273,21
2,0.94545455,22
2,0.96363636,23
2,0.92727273,24
2,0.85454545,25
2,0.96363636,26
2,0.8,27
2,0.90909091,28
2,0.92727273,29
2,0.92727273,31
2,0.76363636,32
2,0.83636364,33
2,0.85454545,34
2,0.76363636,35
2,0.89090909,36
2,0.90909091,37
2,0.78181818,38
2,0.89090909,39
2,0.63636364,40
2,0.56363636,41
2,0.49090909,42
2,0.76363636,44
2,0.6,45
2,0.61818182,46
2,0.70909091,47
2,0.8,48
2,0.70909091,49
2,0.63636364,50
2,0.87272727,51
2,0.83636364,52
2,0.8,53
2,0.81818182,54
2,0.6,55
2,0.52727273,56
2,0.63636364,57
2,0.69090909,58
2,0.81818182,59
2,0.69090909,60
2,0.85454545,61
2,0.83636364,62
2,0.8,63
2,0.87272727,64
2,0.83636364,66
2,0.78181818,67
2,0.8,68
2,0.85454545,69
2,0.85454545,70
2,0.09090909,71
2,0.67272727,72
2,0.32727273,73
2,0.61818182,74
2,0.65454545,75
2,0.56363636,76
2,0.58181818,77
2,0.52727273,78
2,0.09090909,79
2,0.32727273,80
2,0.41818182,81
2,0.45454545,82
2,0.16363636,83
2,0.09090909,84
2,0.30909091,85
3,0.77419355,1
3,0.93548387,2
3,0.91935484,3
3,0.90322581,4
3,0.72580645,5
3,0.87096774,6
3,0.85483871,7
3,0.82258065,8
3,0.90322581,9
3,0.93548387,10
3,0.83870968,11
3,0.74193548,12
3,0.74193548,13
3,0.61290323,14
3,0.77419355,15
3,0.77419355,16
3,1.0,17
3,1.0,18
3,0.93548387,19
3,0.96774194,20
3,0.91935484,21
3,0.90322581,22
3,0.93548387,23
3,0.88709677,24
3,0.77419355,25
3,0.90322581,26
3,0.74193548,27
3,0.85483871,28
3,0.88709677,29
3,0.90322581,31
3,0.62903226,32
3,0.69354839,33
3,0.70967742,34
3,0.69354839,35
3,0.77419355,36
3,0.80645161,37
3,0.74193548,38
3,0.80645161,39
3,0.5483871,40
3,0.4516129,41
3,0.37096774,42
3,0.64516129,44
3,0.48387097,45
3,0.43548387,46
3,0.5,47
3,0.59677419,48
3,0.53225806,49
3,0.48387097,50
3,0.79032258,51
3,0.74193548,52
3,0.70967742,53
3,0.72580645,54
3,0.4516129,55
3,0.37096774,56
3,0.56451613,57
3,0.5,58
3,0.62903226,59
3,0.46774194,60
3,0.79032258,61
3,0.77419355,62
3,0.66129032,63
3,0.77419355,64
3,0.72580645,66
3,0.67741935,67
3,0.64516129,68
3,0.66129032,69
3,0.69354839,70
3,0.0483871,71
3,0.61290323,72
3,0.29032258,73
3,0.46774194,74
3,0.58064516,75
3,0.4516129,76
3,0.43548387,77
3,0.41935484,78
3,0.0483871,79
3,0.25806452,80
3,0.37096774,81
3,0.41935484,82
3,0.12903226,83
3,0.08064516,84
3,0.27419355,85
4,0.8,1
4,0.92,2
4,0.92,3
4,0.92,4
4,0.88,5
4,0.92,6
4,0.92,7
4,0.92,8
4,0.96,9
4,0.96,10
4,0.92,11
4,0.88,12
4,0.88,13
4,0.8,14
4,0.88,15
4,0.84,16
4,1.0,17
4,1.0,18
4,0.88,19
4,0.96,20
4,0.88,21
4,0.96,22
4,0.96,23
4,0.92,24
4,0.8,25
4,0.96,26
4,0.84,27
4,0.88,28
4,0.92,29
4,0.96,31
4,0.8,32
4,0.84,33
4,0.84,34
4,0.84,35
4,0.92,36
4,0.84,37
4,0.8,38
4,0.88,39
4,0.64,40
4,0.48,41
4,0.52,42
4,0.8,44
4,0.68,45
4,0.64,46
4,0.72,47
4,0.84,48
4,0.8,49
4,0.68,50
4,0.88,51
4,0.84,52
4,0.76,53
4,0.92,54
4,0.72,55
4,0.6,56
4,0.64,57
4,0.68,58
4,0.84,59
4,0.72,60
4,0.84,61
4,0.84,62
4,0.84,63
4,0.88,64
4,0.84,66
4,0.84,67
4,0.84,68
4,0.84,69
4,0.88,70
4,0.12,71
4,0.76,72
4,0.36,73
4,0.68,74
4,0.8,75
4,0.76,76
4,0.72,77
4,0.56,78
4,0.12,79
4,0.48,80
4,0.48,81
4,0.48,82
4,0.2,83
4,0.12,84
4,0.32,85